worksheet,chart_index,chart_type,title_text,series_count,template_candidate,module_source_candidate,series_formulas,named_range_present,direct_sheet_ref_present,mapping_status,implementation_authorized
Block_TC,1,BarChart,Cost Profile,4,COST_PROFILE,CostResult / oil cost components,[0]!Expl_Appr. | [0]!Years_Prod | [0]!Wells_CAP | [0]!Fac_CAP | [0]!OPEX,1,0,REVIEW_REQUIRED,YES
Block_TC_Gas,1,AreaChart,Gas Cost Profile,1,COST_PROFILE,CostResult / gas cost components,[0]!Gas_Expl_Appr. | [0]!Years_Prod,1,0,REVIEW_REQUIRED,YES
FLGT,1,BarChart,Front-Loaded Govt Take,7,FLGT_TAKE,FLGTResult / government-take data,FLGT!$AA$7:$AA$28 | FLGT!$A$7:$A$28 | FLGT!$AB$7:$AB$28 | FLGT!$AC$7:$AC$28 | FLGT!$AD$7:$AD$28 | FLGT!$AE$7:$AE$28 | FLGT!$AF$7:$AF$28 | FLGT!$AG$7:$AG$28,0,1,REVIEW_REQUIRED,YES
Project_NCF,1,AreaChart,Project Discounted NCF,1,DISCOUNTED_NCF,CR_NCFResult / project discounted NCF data,[0]!Cum_DNCF | [0]!Years_Prod,1,0,REVIEW_REQUIRED,YES
Analysis,1,ScatterChart,% Change in NPV,8,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$U$84:$U$92 | Analysis!$V$84:$V$92 | Analysis!$W$84:$W$92 | Analysis!$X$84:$X$92 | Analysis!$Y$84:$Y$92 | Analysis!$Z$84:$Z$92 | Analysis!$AA$84:$AA$92 | Analysis!$AB$84:$AB$92 | Analysis!$AC$84:$AC$92,0,1,DEFERRED,NO
Analysis,2,ScatterChart,NPV,8,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$J$84:$J$92 | Analysis!$K$84:$K$92 | Analysis!$L$84:$L$92 | Analysis!$M$84:$M$92 | Analysis!$N$84:$N$92 | Analysis!$O$84:$O$92 | Analysis!$P$84:$P$92 | Analysis!$Q$84:$Q$92 | Analysis!$R$84:$R$92,0,1,DEFERRED,NO
Analysis,3,ScatterChart,Oil Price Based Sensitivities of NPV and Disc. Payout,1,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$C$23:$C$33 | Analysis!$D$23:$D$33,0,1,DEFERRED,NO
Analysis,4,BarChart,,2,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$K$99:$R$99 | Analysis!$K$96:$R$96 | Analysis!$K$97:$R$97,0,1,DEFERRED,NO
Analysis,5,BarChart,%Change in NPV,9,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$AF$87:$AM$87 | Analysis!$AF$83:$AM$83 | Analysis!$AF$86:$AM$86 | Analysis!$AF$85:$AM$85 | Analysis!$AF$84:$AM$84 | Analysis!$AG$88:$AM$88 | Analysis!$AF$89:$AM$89 | Analysis!$AF$90:$AM$90 | Analysis!$AF$91:$AM$91 | Analysis!$AF$92:$AM$92,0,1,DEFERRED,NO
Analysis,6,BarChart,Hurdle Rate Vs NPV,1,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$D$113:$D$131 | Analysis!$C$113:$C$131,0,1,DEFERRED,NO
Analysis,7,LineChart,% Change in GRR,8,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$W$251:$W$259 | Analysis!$U$251:$U$259 | Analysis!$AB$251:$AB$259 | Analysis!$V$251:$V$259 | Analysis!$AC$251:$AC$259 | Analysis!$Z$251:$Z$259 | Analysis!$X$251:$X$259 | Analysis!$Y$251:$Y$259 | Analysis!$AA$251:$AA$259,0,1,DEFERRED,NO
Analysis,8,BarChart,%Change in GRR,9,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$V$254:$AC$254 | Analysis!$V$250:$AC$250 | Analysis!$V$253:$AC$253 | Analysis!$V$252:$AC$252 | Analysis!$V$251:$AC$251 | Analysis!$V$255:$AB$255 | Analysis!$V$256:$AC$256 | Analysis!$V$257:$AC$257 | Analysis!$V$258:$AC$258 | Analysis!$V$259:$AC$259,0,1,DEFERRED,NO
Analysis,9,BarChart,"Growth Rate of Return, %",2,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$K$266:$R$266 | Analysis!$K$265:$R$265 | Analysis!$K$268:$R$268,0,1,DEFERRED,NO
Analysis,10,LineChart,"Growth Rate of Return, %",8,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$K$251:$K$259 | Analysis!$J$251:$J$259 | Analysis!$L$251:$L$259 | Analysis!$M$251:$M$259 | Analysis!$N$251:$N$259 | Analysis!$O$251:$O$259 | Analysis!$P$251:$P$259 | Analysis!$Q$251:$Q$259 | Analysis!$R$251:$R$259,0,1,DEFERRED,NO
Analysis,11,LineChart,"Profitability Index, PI",8,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$K$374:$K$382 | Analysis!$J$374:$J$382 | Analysis!$L$374:$L$382 | Analysis!$M$374:$M$382 | Analysis!$O$374:$O$382 | Analysis!$N$374:$N$382 | Analysis!$Q$374:$Q$382 | Analysis!$R$374:$R$382 | Analysis!$P$374:$P$382,0,1,DEFERRED,NO
Analysis,12,LineChart,%Change in PI,8,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$W$374:$W$382 | Analysis!$U$374:$U$382 | Analysis!$V$374:$V$382 | Analysis!$X$374:$X$382 | Analysis!$Z$374:$Z$382 | Analysis!$Y$374:$Y$382 | Analysis!$AB$374:$AB$382 | Analysis!$AC$374:$AC$382 | Analysis!$AA$374:$AA$382,0,1,DEFERRED,NO
Analysis,13,BarChart,"Profitability Index, PI",3,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$K$374:$S$374 | Analysis!$K$373:$S$373 | Analysis!$K$378:$S$378 | Analysis!$K$382:$S$382,0,1,DEFERRED,NO
Analysis,14,BarChart,%Change in PI,3,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$V$374:$AC$374 | Analysis!$V$373:$AC$373 | Analysis!$V$378:$AC$378 | Analysis!$V$382:$AC$382,0,1,DEFERRED,NO
Analysis,15,ScatterChart,Oil Price Based Sensitivities of NPV and Disc. Payout,1,PENDING_SEMANTIC_MAP,DEFERRED — sensitivity/Analysis scope,Analysis!$D$22:$D$32,0,1,DEFERRED,NO
Equity_NCF_Con,1,BarChart,Equity CashFlow with Acquisition Cost,1,EQUITY_CASHFLOW,CR_NCFResult / equity discounted cash-flow data,Equity_NCF_Con!$AH$5:$AH$34 | Equity_NCF_Con!$A$5:$A$34,0,1,REVIEW_REQUIRED,NO
